companyName,reviewBody,datePublished,ratingValue
Clever Real Estate,Clever matched me with the PERFECT selling agent. Seriously the best experience with a real estate agent I've ever had. Deedee Martini truly went above and beyond to help get this house in marketable order and obtained a cash offer in less than 5 weeks.,2023-01-26,5
Clever Real Estate,"Gilbert has a great team.  Great in communication, intelligent and basically go getters.  I never meet such anesome team that supports their clients.  They should be commended for such hard work!   So grateful!",2023-01-27,5
Clever Real Estate,"Clever gives you a wonderful experience with a fraction of the cost. My agent Brain Brenner was prompt to begin helping me list my property. Professional photographs and measurements of my property were scheduled quickly. My property sold within 1 day of being listed. My agent Brain communicated promptly throughout listing to closing. I will recommend Clever to all my family, friends, and colleagues.",2023-01-12,5
Clever Real Estate,I had the best real estate agent. I actually felt guilty that the other real estate agent made more than mine. So I was not happy with the way felt afterwards. I do like saving money. So it was bittersweet.,2023-01-18,5
Clever Real Estate,"I'm sure most are skeptical about a service like this. I assumed I would get less service from my realtor or somehow be knickled and dimed in some other way, but Clever delivered as promised.I got a great realtor to help us shop for a home for what turned out to be a difficult move. He went above and beyond to help us house hunt remotely, avoid costly mistakes, and help us close with a difficult seller.I should be getting a check back from the closing in a week or so, so that's another bonus!",2023-01-13,5
Clever Real Estate,Our real estate agent Greg made everything easy and seamless. We couldn’t have asked for a better person to guide us through the selling process.,2023-01-23,5
Clever Real Estate,We were lucky to have such a capable agent in Jillian Ohlen. She was knowledgeable and friendly and we never felt like we were being shortchanged due to the low rates,2023-01-18,5
Clever Real Estate,Our relationship with Rick was great! He made this stressful selling of a home very smooth! Clever allowed us to save money on commission and sell the home in a few months! We are very pleased and will recommend our agent in the future!,2023-01-17,5
Clever Real Estate,We still signed up for Clever & they matched us with a wonderful agent. Laura was understanding & compassionate helping us our move if our elderly mom. In fact she actually came and helped on moving day!!!,2023-01-10,5
Clever Real Estate,Very happy with the cooperation and good communications and everythingMy best real estate experience. Mr Good man I’ll work with him again if I needed him,2023-01-20,5
Clever Real Estate,"I was offered several specialists to choose from, I immediately liked it, because other companies do not have such an opportunity. I found a great realtor and we sold my house with no problems. The whole process went smoothly and quickly, because our case was handled by an experienced specialist who understands all the intricacies of real estate. In the future, I will only use the services of Clever Real Estate",2023-01-12,5
Clever Real Estate,Found me a really good realtor. Made my experience selling my home very easy and with no stress.  Was able to sell my house after being on the market for less than a week at my asking price.,2023-01-13,5
Clever Real Estate,"Agent, Carl Gresen, was always very responsive in a timely manner.  The sale took longer than I originally thought it would, but we are in a slow real estate market, especially for higher priced properties.  Agent did an excellent job in helping price the property appropriately.  Will use Carl again in the future when additional properties come up for sale.  Thanks Carl.",2023-01-08,5
Clever Real Estate,Clever was able to offer us a couple experienced  agents from our area that were then able to choose.  Our agent was extremely professional and knowledgeable and proved to be the perfect fit for us. All went seamlessly from the beginning through closing.,2023-01-13,5
Clever Real Estate,"Our whole experience from start to finish was great! Our realtor, Christian Flores, was so professional, responsive, and knowledgeable. His real estate expertise guided us through a stress free selling experience with great results. He is the best!",2023-01-10,5
Clever Real Estate,They matched three agents to you. You kinda feel them out and choose. We did sell our house in a crazy time with a big slow down in the market. Had to drop the price down a few time but it could of been worse compared to other prices drops in the neighborhood. I believe it worked out.,2022-12-01,5
Clever Real Estate,"The agent I was referred to is excellent. He guided me through the whole selling process. He gave me advise I trusted. I highly recommend him. He was there from start to finish, always responsive and did not hesitate to contact me with updates. I would definitely work with him if the opportunity happened again.",2023-01-04,5
Clever Real Estate,"It was quick and easy to get an agent with Clever.  We interviewed the 3 agents they suggested and decided to go with Rick Daves.  He was very responsive, personable, and gave us excellent advice.  He set up the listing and used a professional photographer (even drone shots!).  We had an offer within 10 days of listing, even in the current market with increasing mortgage interest rates.  Rick helped negotiate with the buyer's agent and we recently closed the sale.  Great experience!",2022-12-31,5
